Density,Temp,Energy,HeatCapCv,Pressure
5.500000e-01,4.109971e-01,-4.974232e+00,2.503169e+00,-1.968410e-01
5.500000e-01,4.043442e-01,-4.972073e+00,1.816050e+00,-2.246787e-01
5.500000e-01,3.967648e-01,-4.967842e+00,3.874801e+00,-2.799282e-01
5.500000e-01,4.112568e-01,-4.970618e+00,3.866997e+00,-2.633413e-01
5.500000e-01,4.070606e-01,-4.969823e+00,1.798936e+00,-2.637203e-01
5.500000e-01,4.494582e-01,-4.668635e+00,2.044116e+00,-1.460680e-01
5.500000e-01,4.610377e-01,-4.671554e+00,2.316123e+00,-1.447624e-01
5.500000e-01,4.422661e-01,-4.658958e+00,2.932807e+00,-3.052283e-01
5.500000e-01,4.518463e-01,-4.667369e+00,2.217794e+00,-1.913235e-01
5.500000e-01,4.614612e-01,-4.669438e+00,3.746938e+00,-1.473540e-01
5.500000e-01,5.140112e-01,-4.304521e+00,2.554380e+00,-3.276923e-01
5.500000e-01,5.157765e-01,-4.303715e+00,2.031066e+00,-2.943715e-01
5.500000e-01,5.073109e-01,-4.303332e+00,2.830211e+00,-2.490370e-01
5.500000e-01,4.999697e-01,-4.296586e+00,1.988520e+00,-3.584154e-01
5.500000e-01,5.073831e-01,-4.305241e+00,2.584094e+00,-2.103222e-01
5.500000e-01,5.687441e-01,-4.027751e+00,3.335364e+00,-1.575921e-01
5.500000e-01,5.559856e-01,-4.021620e+00,2.846123e+00,-2.276779e-01
5.500000e-01,5.579467e-01,-4.025765e+00,2.067518e+00,-2.118312e-01
5.500000e-01,5.635478e-01,-4.027763e+00,2.003630e+00,-1.801145e-01
5.500000e-01,5.584461e-01,-4.024721e+00,2.145829e+00,-2.281850e-01
5.500000e-01,6.002651e-01,-3.851094e+00,2.552043e+00,-1.541475e-01
5.500000e-01,5.906109e-01,-3.844643e+00,2.888787e+00,-2.594729e-01
5.500000e-01,5.850862e-01,-3.842346e+00,2.337218e+00,-2.210941e-01
5.500000e-01,5.804233e-01,-3.841670e+00,1.948357e+00,-2.569120e-01
5.500000e-01,5.836877e-01,-3.849807e+00,3.606094e+00,-1.673666e-01
5.500000e-01,6.455336e-01,-3.542752e+00,1.790617e+00,-1.087549e-01
5.500000e-01,6.444319e-01,-3.537882e+00,2.445585e+00,-1.547816e-01
